clipId,gameId,roundId,playerId,startFrame,endFrame,isBluffing,note
1,2,2,5,318,467,1,
2,3,1,5,534,683,1,
3,4,1,5,300,449,1,
4,4,2,5,1539,1688,1,
5,5,2,5,500,649,1,
6,5,3,5,14,163,1,
7,5,4,5,1160,1309,1,
8,6,3,5,530,679,1,
9,7,3,5,367,516,1,
10,7,4,5,300,449,1,
11,8,2,5,1230,1379,1,
12,9,3,5,2680,2829,1,
13,11,2,5,1040,1189,1,
14,1,3,5,254,403,0,
15,2,3,5,1468,1617,0,
16,6,2,5,670,819,0,
17,12,1,5,769,918,0,
18,13,1,5,1016,1165,0,
19,14,1,5,992,1141,0,
20,14,2,5,389,538,0,
21,14,3,5,197,346,0,
22,15,1,5,3100,3249,0,
23,15,2,5,746,895,0,
24,1,2,5,416,565,0,
25,5,1,5,322,471,0,
26,7,1,5,230,379,0,
27,7,2,5,1032,1181,0,
28,1,1,0,0,149,0,
29,1,2,0,1400,1549,0,
30,2,1,0,1750,1899,0,
31,3,1,0,965,1114,0,
32,3,2,0,1950,2099,1,
33,3,3,0,1432,1581,1,
34,3,4,0,288,437,1,
35,4,1,0,821,970,0,
36,4,2,0,2510,2659,1,
37,4,3,0,1123,1272,1,
38,5,1,0,714,863,0,
39,5,2,0,1634,1783,0,
40,5,3,0,2535,2684,1,
41,5,4,0,1920,2069,0,
42,6,1,0,785,934,0,
43,6,2,0,727,876,0,
44,6,3,0,539,688,0,
45,7,1,0,308,457,0,
46,7,2,0,1628,1777,0,
47,7,3,0,1098,1247,0,
48,8,1,0,314,463,0,
49,8,2,0,1935,2084,1,
50,8,3,0,1540,1689,1,
51,9,1,0,964,1113,0,
52,9,2,0,1175,1324,0,
53,9,3,0,712,861,0,
54,10,1,0,592,741,0,
55,10,2,0,1102,1251,0,
56,11,1,0,777,926,0,
57,11,3,0,781,930,1,
58,11,4,0,634,783,1,
59,12,1,0,1005,1154,0,
60,12,2,0,1505,1654,1,
61,12,3,0,905,1054,1,
62,13,1,0,212,361,0,
63,13,2,0,2067,2216,1,
64,13,3,0,989,1138,1,
65,13,4,0,1250,1399,1,
66,14,1,0,717,866,0,
67,14,2,0,1710,1859,0,
68,14,3,0,1124,1273,0,
69,15,1,0,1037,1186,0,
70,15,2,0,1507,1656,0,
71,1,4,3,529,678,1,
72,1,4,3,679,828,1,
73,1,4,3,1000,1149,1,
74,1,4,3,1229,1378,1,
75,14,3,3,343,492,1,
76,14,3,3,831,980,1,
77,15,2,3,1078,1227,1,
78,15,2,3,1235,1384,1,
79,15,2,3,1385,1534,1,
80,1,1,3,300,449,0,
81,1,2,3,468,617,0,
82,1,2,3,1354,1503,0,
83,1,3,3,715,864,1,
84,2,1,3,450,599,0,
85,3,1,3,675,824,0,
86,4,1,3,450,599,0,
87,4,2,3,1043,1192,0,
88,5,1,3,446,595,0,
89,7,2,3,1185,1334,0,
90,7,3,3,820,969,0,
91,7,4,3,915,1064,1,
92,8,1,3,996,1145,0,
93,10,1,3,366,515,0,
94,10,2,3,1445,1594,0,
95,10,3,3,432,581,0,
96,10,4,3,781,930,0,
97,10,4,3,1368,1517,0,
98,11,1,3,598,747,0,
99,14,1,3,1321,1470,0,
100,14,2,3,300,449,0,
101,14,2,3,1364,1513,0,
102,2,2,1,1281,1430,1,
103,2,3,1,500,649,1,
104,2,4,1,766,915,1,
105,6,3,1,1541,1690,1,I bounce up and down involuntarily
106,6,4,1,1787,1936,1,
107,11,3,1,723,872,1,
108,11,4,1,1132,1281,1,
109,13,2,1,134,283,1,
110,13,3,1,1576,1725,1,
111,13,3,1,1666,1815,1,
112,13,4,1,575,724,1,Head scratch
113,13,4,1,2471,2620,1,
114,15,1,1,290,439,1,
115,15,2,1,1295,1444,1,
116,15,2,1,1540,1689,1,
